split_id,protocol,seed,fold,model_id,selected_hyperparameters
lopo__seed-42__fold-0,lopo,42,0,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-1,lopo,42,1,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-2,lopo,42,2,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-3,lopo,42,3,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-4,lopo,42,4,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-5,lopo,42,5,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-6,lopo,42,6,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-7,lopo,42,7,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-8,lopo,42,8,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-9,lopo,42,9,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-10,lopo,42,10,dt_baseline,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-11,lopo,42,11,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-12,lopo,42,12,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-13,lopo,42,13,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-14,lopo,42,14,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-15,lopo,42,15,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-16,lopo,42,16,dt_baseline,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-17,lopo,42,17,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-18,lopo,42,18,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-19,lopo,42,19,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-20,lopo,42,20,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-21,lopo,42,21,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-22,lopo,42,22,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-23,lopo,42,23,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-24,lopo,42,24,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-25,lopo,42,25,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-26,lopo,42,26,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-27,lopo,42,27,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-28,lopo,42,28,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-29,lopo,42,29,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-30,lopo,42,30,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-31,lopo,42,31,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-32,lopo,42,32,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
