configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,split_id,protocol,seed,fold,model_id
12,2,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8067201381661313,0.9047598759015149,0.14054243380759324,0.4137319538105571,0.8767697954902989,0.6759996681599469,0.926829268292683,0.42517006802721086,0.8318407960199005,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
12,mean,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.807196828021549,0.9048024386448085,0.13930794569842556,0.3935740453335765,0.8739697987320397,0.6647527062987998,0.9275683665927569,0.4019370460048426,0.8269024992056657,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
13,0,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8086286594761173,0.9105039374027613,0.142290888164593,0.41120613117244803,0.856353591160221,0.7041771581044007,0.8592017738359202,0.5491525423728814,0.8535242290748899,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
13,1,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8151047558713064,0.917714081474649,0.1414527711017198,0.3537653617883066,0.8637559179379274,0.6523786898351358,0.9101995565410199,0.3945578231292517,0.8218218218218218,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
13,2,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.7887159298309125,0.8987719610341802,0.14720480812034736,0.2404795297468886,0.8594458438287154,0.5816816748872498,0.9456762749445676,0.21768707482993196,0.7876269621421976,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
13,mean,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 1}",0.8041497817261121,0.9089966599705303,0.14364948912888673,0.33515034090254775,0.8598517843089546,0.6460791742755955,0.9050258684405027,0.38713248011068835,0.8209910043463031,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
14,0,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}",0.8147130670074035,0.9211203341195715,0.14232769803230186,0.3561172781759138,0.861228813559322,0.6574448494870156,0.9013303769401331,0.4135593220338983,0.8245436105476673,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
14,1,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}",0.80686531818936,0.9130389977131415,0.1432312139751071,0.3512957395395684,0.8737270875763747,0.6286709805873569,0.9512195121951219,0.30612244897959184,0.807909604519774,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
14,2,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}",0.7920003921746083,0.910252267755457,0.14782843635749793,0.2346027787186785,0.8600100351229303,0.5770962486990361,0.950110864745011,0.20408163265306123,0.7855178735105408,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
14,mean,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}",0.8045262591237906,0.9148038665293899,0.14446244945496897,0.3140052654780536,0.8649886454195425,0.6210706929244695,0.934220251293422,0.3079211345555171,0.8059903628593273,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline
