split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-14,lopo,42,14,xgb_baseline,0.8108933568000793,0.2869383692741394,0.8108933568000793,0.8108933568000793
lopo__seed-42__fold-15,lopo,42,15,xgb_baseline,0.8655235171318054,0.27793899178504944,0.8655235171318054,0.8655235171318054
lopo__seed-42__fold-16,lopo,42,16,xgb_baseline,0.7578887343406677,0.3388652503490448,0.7938700914382935,0.7938700914382935
lopo__seed-42__fold-17,lopo,42,17,xgb_baseline,0.760418176651001,0.11222600191831589,0.8013970851898193,0.8013970851898193
lopo__seed-42__fold-18,lopo,42,18,xgb_baseline,0.7993491291999817,0.5538737177848816,0.8443946838378906,0.8443946838378906
lopo__seed-42__fold-19,lopo,42,19,xgb_baseline,0.7091985940933228,0.35218533873558044,0.8314505219459534,0.8314505219459534
lopo__seed-42__fold-20,lopo,42,20,xgb_baseline,0.7394530177116394,0.4086398482322693,0.8097926378250122,0.8097926378250122
lopo__seed-42__fold-21,lopo,42,21,xgb_baseline,0.8200599551200867,0.320139080286026,0.8445029258728027,0.8445029258728027
lopo__seed-42__fold-22,lopo,42,22,xgb_baseline,0.8010134696960449,0.5064302086830139,0.8223485946655273,0.8223485946655273
lopo__seed-42__fold-23,lopo,42,23,xgb_baseline,0.7857764363288879,0.443405419588089,0.809657633304596,0.809657633304596
lopo__seed-42__fold-24,lopo,42,24,xgb_baseline,0.7321876883506775,0.2998617887496948,0.8594660758972168,0.8594660758972168
lopo__seed-42__fold-25,lopo,42,25,xgb_baseline,0.767398476600647,0.17681606113910675,0.8483697772026062,0.8483697772026062
lopo__seed-42__fold-26,lopo,42,26,xgb_baseline,0.81214439868927,0.35444414615631104,0.81214439868927,0.81214439868927
lopo__seed-42__fold-27,lopo,42,27,xgb_baseline,0.7195571660995483,0.40523454546928406,0.7344178557395935,0.7344178557395935
lopo__seed-42__fold-28,lopo,42,28,xgb_baseline,0.8017233610153198,0.257610023021698,0.8353456854820251,0.8353456854820251
lopo__seed-42__fold-29,lopo,42,29,xgb_baseline,0.7214469313621521,0.2941729724407196,0.7336517572402954,0.7336517572402954
lopo__seed-42__fold-30,lopo,42,30,xgb_baseline,0.7931550741195679,0.5555640459060669,0.7931550741195679,0.7931550741195679
lopo__seed-42__fold-31,lopo,42,31,xgb_baseline,0.7778148055076599,0.362165242433548,0.7778148055076599,0.7778148055076599
lopo__seed-42__fold-32,lopo,42,32,xgb_baseline,0.6973391771316528,0.46330204606056213,0.7950857877731323,0.7950857877731323
lopo__seed-42__fold-33,lopo,42,33,xgb_baseline,0.7723334431648254,0.3643624782562256,0.7723334431648254,0.7723334431648254
lopo__seed-42__fold-34,lopo,42,34,xgb_baseline,0.7903379201889038,0.49818581342697144,0.8469015955924988,0.8469015955924988
lopo__seed-42__fold-35,lopo,42,35,xgb_baseline,0.6936007738113403,0.3780744671821594,0.7982468008995056,0.7982468008995056
lopo__seed-42__fold-36,lopo,42,36,xgb_baseline,0.8505045771598816,0.22187721729278564,0.8505045771598816,0.8505045771598816
lopo__seed-42__fold-37,lopo,42,37,xgb_baseline,0.7653071284294128,0.22939865291118622,0.8318451642990112,0.8318451642990112
lopo__seed-42__fold-38,lopo,42,38,xgb_baseline,0.8146480917930603,0.3328368663787842,0.9044569730758667,0.9044569730758667
lopo__seed-42__fold-39,lopo,42,39,xgb_baseline,0.7450348138809204,0.33861514925956726,0.800791323184967,0.800791323184967
lopo__seed-42__fold-40,lopo,42,40,xgb_baseline,0.7596358060836792,0.3564777970314026,0.7879675626754761,0.7879675626754761
lopo__seed-42__fold-41,lopo,42,41,xgb_baseline,0.792104184627533,0.2037106454372406,0.8527753353118896,0.8527753353118896
lopo__seed-42__fold-42,lopo,42,42,xgb_baseline,0.8451565504074097,0.000890183902811259,0.9549387693405151,0.9549387693405151
lopo__seed-42__fold-43,lopo,42,43,xgb_baseline,0.7695155739784241,0.07597437500953674,0.7695155739784241,0.7695155739784241
lopo__seed-42__fold-44,lopo,42,44,xgb_baseline,0.8213581442832947,0.06208750605583191,0.8255788683891296,0.8255788683891296
lopo__seed-42__fold-45,lopo,42,45,xgb_baseline,0.8248371481895447,0.24378661811351776,0.8276834487915039,0.8276834487915039
lopo__seed-42__fold-46,lopo,42,46,xgb_baseline,0.7480506896972656,0.46144363284111023,0.8047252893447876,0.8047252893447876
lopo__seed-42__fold-47,lopo,42,47,xgb_baseline,0.804271936416626,0.22996176779270172,0.8413950800895691,0.8413950800895691
lopo__seed-42__fold-48,lopo,42,48,xgb_baseline,0.6822391748428345,0.4226391315460205,0.8415961265563965,0.8415961265563965
lopo__seed-42__fold-49,lopo,42,49,xgb_baseline,0.761684775352478,0.03326756879687309,0.8789456486701965,0.8789456486701965
lopo__seed-42__fold-50,lopo,42,50,xgb_baseline,0.8301975131034851,0.11860527843236923,0.8301975131034851,0.8301975131034851
lopo__seed-42__fold-51,lopo,42,51,xgb_baseline,0.8507105112075806,0.021351255476474762,0.8507105112075806,0.8507105112075806
lopo__seed-42__fold-52,lopo,42,52,xgb_baseline,0.8053207397460938,0.09864877164363861,0.8053423166275024,0.8053423166275024
lopo__seed-42__fold-53,lopo,42,53,xgb_baseline,0.8234116435050964,0.5051115155220032,0.825837254524231,0.825837254524231
lopo__seed-42__fold-54,lopo,42,54,xgb_baseline,0.78900545835495,0.259147971868515,0.7908100485801697,0.7908100485801697
lopo__seed-42__fold-55,lopo,42,55,xgb_baseline,0.8021165132522583,0.43655478954315186,0.8420038223266602,0.8420038223266602
lopo__seed-42__fold-56,lopo,42,56,xgb_baseline,0.8336163759231567,0.3707069754600525,0.8336163759231567,0.8336163759231567
lopo__seed-42__fold-57,lopo,42,57,xgb_baseline,0.7469466328620911,0.32614436745643616,0.8266724348068237,0.8266724348068237
lopo__seed-42__fold-58,lopo,42,58,xgb_baseline,0.7674915194511414,0.4466988742351532,0.8002389669418335,0.8002389669418335
lopo__seed-42__fold-59,lopo,42,59,xgb_baseline,0.863741934299469,0.13607710599899292,0.8643803596496582,0.8643803596496582
lopo__seed-42__fold-60,lopo,42,60,xgb_baseline,0.8449561595916748,0.08174999803304672,0.8449561595916748,0.8449561595916748
lopo__seed-42__fold-61,lopo,42,61,xgb_baseline,0.8695045709609985,0.2327338010072708,0.8695045709609985,0.8695045709609985
lopo__seed-42__fold-62,lopo,42,62,xgb_baseline,0.7935526967048645,0.47195684909820557,0.7935526967048645,0.7935526967048645
lopo__seed-42__fold-63,lopo,42,63,xgb_baseline,0.7227247357368469,0.565656840801239,0.8270946145057678,0.8270946145057678
lopo__seed-42__fold-64,lopo,42,64,xgb_baseline,0.745105504989624,0.5175803899765015,0.7522209286689758,0.7522209286689758
lopo__seed-42__fold-65,lopo,42,65,xgb_baseline,0.7735201716423035,0.5691244006156921,0.8521450757980347,0.8521450757980347
lopo__seed-42__fold-66,lopo,42,66,xgb_baseline,0.7502342462539673,0.1673167496919632,0.9090879559516907,0.9090879559516907
lopo__seed-42__fold-67,lopo,42,67,xgb_baseline,0.7544446587562561,0.4316648244857788,0.8042758107185364,0.8042758107185364
lopo__seed-42__fold-68,lopo,42,68,xgb_baseline,0.8365046977996826,0.02423420175909996,0.8741676211357117,0.8741676211357117
lopo__seed-42__fold-69,lopo,42,69,xgb_baseline,0.796535074710846,0.44106173515319824,0.796535074710846,0.796535074710846
lopo__seed-42__fold-70,lopo,42,70,xgb_baseline,0.8305937051773071,0.4798617362976074,0.8491935133934021,0.8491935133934021
