split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,knn_baseline,0.8814051298884314,0.27718618144207857,0.8814051298884314,0.8814051298884314
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,knn_baseline,0.5263921703864466,0.19203220109708513,0.8533390876645669,0.8533390876645669
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,knn_baseline,0.8214641355580881,0.29450045832879274,0.8278168665737249,0.8278168665737249
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,knn_baseline,0.8666666666666667,0.4666666666666667,0.8666666666666667,0.8666666666666667
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,knn_baseline,0.8336549910284804,0.33708658101933875,0.9498814330505851,0.9498814330505851
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,knn_baseline,0.8693279088779904,0.23398491047652137,0.9473096632934556,0.9473096632934556
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,knn_baseline,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,knn_baseline,0.7892446190765349,0.3221687210372556,0.88214164870155,0.88214164870155
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,knn_baseline,0.688717938970126,0.31853770747243243,0.688717938970126,0.688717938970126
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,knn_baseline,0.8123530001446393,0.08279048496080221,0.8123530001446393,0.8123530001446393
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,knn_baseline,0.8333333333333334,0.23333333333333334,0.8333333333333334,0.8333333333333334
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,knn_baseline,0.7648625330894229,0.12175022432256936,0.8228847304916853,0.8228847304916853
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,knn_baseline,0.9161722287971091,0.2698163729374022,0.9161722287971091,0.9161722287971091
lopo__seed-42__fold-0,lopo,42,0,knn_baseline,0.8068393923497997,0.12927026930819968,0.8068393923497997,0.8068393923497997
lopo__seed-42__fold-1,lopo,42,1,knn_baseline,0.750038038676695,0.2848421852700703,0.750038038676695,0.750038038676695
lopo__seed-42__fold-2,lopo,42,2,knn_baseline,0.7003077468049852,0.25972575265665876,0.832231345160603,0.832231345160603
lopo__seed-42__fold-3,lopo,42,3,knn_baseline,0.871163530572959,0.3464745039463567,0.871163530572959,0.871163530572959
lopo__seed-42__fold-4,lopo,42,4,knn_baseline,0.8,0.2,0.825,0.825
lopo__seed-42__fold-5,lopo,42,5,knn_baseline,0.7942480770199715,0.3690063549776351,0.794736068753019,0.794736068753019
lopo__seed-42__fold-6,lopo,42,6,knn_baseline,0.8961421191092902,0.18961185099345684,0.8961421191092902,0.8961421191092902
lopo__seed-42__fold-7,lopo,42,7,knn_baseline,0.8023901422044685,0.29105695051393843,0.8109573468355091,0.8109573468355091
lopo__seed-42__fold-8,lopo,42,8,knn_baseline,0.7873085340325598,0.0,0.7884125322375085,0.7884125322375085
lopo__seed-42__fold-9,lopo,42,9,knn_baseline,0.6724297265868363,0.1965287743454509,0.8616585345508401,0.8616585345508401
lopo__seed-42__fold-10,lopo,42,10,knn_baseline,0.8064810324531226,0.06515167485897715,0.8109794046947433,0.8109794046947433
lopo__seed-42__fold-11,lopo,42,11,knn_baseline,0.8647062819517416,0.25971703742434643,0.8647062819517416,0.8647062819517416
lopo__seed-42__fold-12,lopo,42,12,knn_baseline,0.7608114802345486,0.0,0.7670054479026868,0.7670054479026868
lopo__seed-42__fold-13,lopo,42,13,knn_baseline,0.7349280593701081,0.3808336179998154,0.7352948201492263,0.7352948201492263
lopo__seed-42__fold-14,lopo,42,14,knn_baseline,0.7082474076585957,0.3329703612880501,0.7448711523436712,0.7448711523436712
lopo__seed-42__fold-15,lopo,42,15,knn_baseline,0.7160825986442476,0.11232736940361852,0.8096475028149683,0.8096475028149683
lopo__seed-42__fold-16,lopo,42,16,knn_baseline,0.774331046658099,0.29946464242216825,0.7938944140719052,0.7938944140719052
lopo__seed-42__fold-17,lopo,42,17,knn_baseline,0.75,0.35,0.75,0.75
lopo__seed-42__fold-18,lopo,42,18,knn_baseline,0.7935000084662828,0.36240314758865516,0.8330726193229776,0.8330726193229776
lopo__seed-42__fold-19,lopo,42,19,knn_baseline,0.690464999462743,0.37756117110113663,0.8247258307609446,0.8247258307609446
