protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,knn_baseline,knn_distance_inverse,15,0.025589104435794117,0.072998046875,0.01820283770580023,0.03533935546875,-0.0391202857958771,0.0001220703125,0.003288490146763991,0.890380859375,-0.0015315185500492637,0.44126813332892967,-0.0014908088929552162,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_distance_sqrt,knn_weighted_sqrt,3,9.24582990791863e-05,1.0,0.0029198465097668436,0.5,-0.0010011116108439393,1.0,-0.016361477351655513,0.75,0.0016337390605097497,1.0,0.0011061577227186037,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_weighted_inverse,knn_weighted_sqrt,3,-0.016115592925046347,0.5,-0.00461708431551211,0.5,0.009435510916089648,0.5,-0.06493609338731555,0.25,0.0037859486011678025,0.25,-0.03450699675393398,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_baseline,knn_distance_inverse,15,-0.00274584728957968,0.638671875,-0.004761180891889904,0.15142822265625,-0.031932028493703815,6.103515625e-05,-0.0015152939576639915,0.93408203125,0.00592354717089109,0.01025390625,-0.003399481251997982,0.5994873046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_baseline,knn_distance_sqrt,15,-0.009516250769226924,0.0301513671875,-0.0085851648602697,0.0042724609375,-0.030289771305259245,6.103515625e-05,-0.007478220414902618,0.45428466796875,0.00042388101535134246,0.93408203125,-0.011276996884648404,0.04791259765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_baseline,knn_weighted_inverse,15,-0.00474352211529081,0.389404296875,-0.007385350592470585,0.02557373046875,-0.03119764911206402,6.103515625e-05,-0.003200786819599858,0.93408203125,0.004268356987524065,0.22930908203125,-0.006694343161489269,0.25238037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_baseline,knn_weighted_sqrt,15,-0.010115841433577799,0.0301513671875,-0.008864394181253399,0.0067138671875,-0.02964386875372521,6.103515625e-05,-0.0037827473313504665,0.7197265625,-0.000870485316950657,0.5614013671875,-0.010468838515150089,0.04791259765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_distance_inverse,knn_distance_sqrt,15,-0.006770403479647243,0.072998046875,-0.003823983968379796,0.27685546875,0.0016422571884445606,0.5994873046875,-0.005962926457238627,0.67877197265625,-0.005499666155539747,0.006318521553682498,-0.007877515632650423,0.15142822265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_distance_inverse,knn_weighted_inverse,15,-0.00199767482571113,0.26039294361048326,-0.0026241697005806807,0.08583095844428565,0.0007343793816397881,0.5939546753269146,-0.0016854928619358667,0.5097974849608639,-0.0016551901833670242,0.1688232421875,-0.0032948619094912866,0.1353759765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_distance_inverse,knn_weighted_sqrt,15,-0.007369994143998119,0.0946044921875,-0.004103213289363495,0.25238037109375,0.0022881597399785885,0.48870849609375,-0.002267453373686475,0.76153564453125,-0.006794032487841746,0.001523275741372569,-0.007069357263152106,0.15142822265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_distance_sqrt,knn_weighted_inverse,15,0.004772728653936113,0.207763671875,0.0011998142677991154,0.48870849609375,-0.0009078778068047725,0.67877197265625,0.00427743359530276,0.45428466796875,0.003844475972172723,0.041259765625,0.004582653723159136,0.15142822265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
