protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,xgb_all_class_paper_weighted,xgb_all_focal_class_paper_weighted,15,0.2286197435792322,6.103515625e-05,0.1297214985999978,6.103515625e-05,-0.5325153897205989,6.103515625e-05,0.3064178266086334,6.103515625e-05,-0.0030698299327675056,0.1095109374886408,0.16290010213086564,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_unweighted,xgb_physics_class_paper_weighted_monotone_o2,15,0.006863346324725465,0.7197265625,0.009590329091882939,0.67877197265625,-0.004536281029383342,0.389404296875,-0.03503634337862978,0.15142822265625,0.0007668916505505496,0.5524933360016062,-0.009520965641910814,0.52447509765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_unweighted,xgb_physics_focal_class_paper_weighted,15,0.2662346208903521,6.103515625e-05,0.14140042744999512,6.103515625e-05,-0.5537660737832387,6.103515625e-05,0.33106936998013825,6.103515625e-05,-0.002062917346153751,0.5302845968336095,0.1838748531190865,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_unweighted,xgb_physics_paper_bagging,15,0.0024834821387908898,0.890380859375,0.006640763614237511,0.846923828125,0.00545461376508077,0.846923828125,0.0315456047093612,0.389404296875,-4.667416824321406e-05,0.9249783071207602,-0.004219815267193816,0.803955078125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_all_unweighted,xgb_physics_unweighted,15,-0.0024227040295566366,0.67877197265625,0.001779159910285107,0.5994873046875,0.008617401123046875,0.1353759765625,-0.02267596752678663,0.389404296875,0.0029181388809865166,0.24886387493792206,-0.011454493300732012,0.42120361328125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_focal_class_paper_weighted,15,0.25937127456562664,6.103515625e-05,0.1318100983581122,6.103515625e-05,-0.5492297927538554,6.103515625e-05,0.366105713358768,6.103515625e-05,-0.0028298089967043008,0.09096894797535775,0.19339581876099732,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_paper_bagging,15,-0.004379864185934575,0.76153564453125,-0.002949565477645429,0.67877197265625,0.009990894794464111,0.02154541015625,0.06658194808799098,0.03533935546875,-0.0008135658187937637,0.6948866023724733,0.005301150374716997,0.67877197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_unweighted,15,-0.0092860503542821,0.389404296875,-0.007811169181597832,0.22930908203125,0.013153682152430216,0.01507568359375,0.012360375851843151,0.67877197265625,0.002151247230435967,0.1730709208049953,-0.0019335276588211992,0.67877197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_focal_class_paper_weighted,xgb_physics_paper_bagging,15,-0.2637511387515612,6.103515625e-05,-0.13475966383575763,6.103515625e-05,0.5592206875483196,6.103515625e-05,-0.299523765270777,6.103515625e-05,0.002016243177910537,0.5076243443095237,-0.18809466838628033,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_focal_class_paper_weighted,xgb_physics_unweighted,15,-0.2686573249199088,6.103515625e-05,-0.13962126753971002,6.103515625e-05,0.5623834749062856,6.103515625e-05,-0.3537453375069248,6.103515625e-05,0.004981056227140268,0.03569190011680441,-0.19532934641981853,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,xgb_physics_paper_bagging,xgb_physics_unweighted,15,-0.004906186168347526,0.5614013671875,-0.004861603703952403,0.42120361328125,0.0031627873579661053,0.45428466796875,-0.05422157223614785,0.1353759765625,0.0029648130492297307,0.041389404009149304,-0.007234678033538196,0.5614013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_all_focal_class_paper_weighted,3,0.4149055097151983,0.25,0.21748213171041586,0.25,-0.6384913722674052,0.25,0.5881211436033361,0.25,0.033049688380505225,0.25,0.34596530920060337,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_all_unweighted,3,0.0016435986159169709,0.75,0.0005245438020988017,0.75,0.0120867391427358,0.25,-0.007517035553099571,0.25,-0.0018324957555677275,1.0,0.0051470588235295045,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,3,0.020587126253216126,0.25,0.008018543261808805,0.25,-0.011621226867039999,0.25,0.03530301042010753,0.25,0.01057132210303946,0.25,0.021474358974359047,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_physics_focal_class_paper_weighted,3,0.41826923076923067,0.25,0.21901411006779656,0.25,-0.6396012504895529,0.25,0.5901416524648274,0.25,0.033049688380505225,0.25,0.34621040723981905,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_physics_paper_bagging,3,0.050466906219501305,0.25,0.018543265803033154,0.25,-0.012727702657381693,0.25,0.08301229102934567,0.25,0.017795279401310315,0.25,0.04311840120663649,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_class_paper_weighted,xgb_physics_unweighted,3,0.02005922278413626,0.25,0.008080229288051596,0.25,0.002033047378063202,0.75,0.0408446701770759,0.25,0.0024274560322697183,0.75,0.027243589743589796,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_focal_class_paper_weighted,xgb_all_unweighted,3,-0.41326191109928123,0.25,-0.21695758790831707,0.25,0.650578111410141,0.25,-0.5956381791564357,0.25,-0.03488218413607295,0.25,-0.3408182503770738,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_focal_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,3,-0.3943183834619821,0.25,-0.20946358844860705,0.25,0.6268701454003652,0.25,-0.5528181331832286,0.25,-0.022478366277465762,0.25,-0.3244909502262443,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_focal_class_paper_weighted,xgb_physics_focal_class_paper_weighted,3,0.0033637210540324682,0.5,0.0015319783573806884,0.5,-0.0011098782221476238,1.0,0.002020508861491252,1.0,0.0,1.0,0.0002450980392156854,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_focal_class_paper_weighted,xgb_physics_paper_bagging,3,-0.36443860349569696,0.25,-0.19893886590738272,0.25,0.6257636696100235,0.25,-0.5051088525739905,0.25,-0.015254408979194908,0.25,-0.30284690799396685,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_focal_class_paper_weighted,xgb_physics_unweighted,3,-0.394846286931062,0.25,-0.20940190242236426,0.25,0.6405244196454684,0.25,-0.5472764734262602,0.25,-0.030622232348235506,0.25,-0.31872171945701355,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_unweighted,xgb_physics_class_paper_weighted_monotone_o2,3,0.018943527637299156,0.25,0.007493999459710003,0.25,-0.0237079660097758,0.25,0.0428200459732071,0.25,0.012403817858607188,0.25,0.016327300150829543,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_unweighted,xgb_physics_focal_class_paper_weighted,3,0.4166256321533138,0.25,0.21848956626569774,0.25,-0.6516879896322886,0.25,0.597658688017927,0.25,0.03488218413607295,0.25,0.34106334841628955,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_unweighted,xgb_physics_paper_bagging,3,0.04882330760358433,0.25,0.01801872200093435,0.25,-0.024814441800117493,0.25,0.09052932658244524,0.25,0.019627775156878042,0.25,0.03797134238310699,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_all_unweighted,xgb_physics_unweighted,3,0.01841562416821929,0.25,0.007555685485952794,0.25,-0.010053691764672598,0.25,0.048361705730175474,0.25,0.004259951787837446,0.25,0.02209653092006029,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_focal_class_paper_weighted,3,0.3976821045160146,0.25,0.21099556680598774,0.25,-0.6279800236225128,0.25,0.5548386420447199,0.25,0.022478366277465762,0.25,0.32473604826546,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
