model_id,model_family,feature_set,protocol,rd_mean,rd_std,rd_bt_mean,rd_bt_std,delta_RMSE_bt_minus_rd_mean,delta_RMSE_bt_minus_rd_std
knn_distance_sqrt,knn,all,interpolation_random,0.0094285048393549,0.0006876562691149,0.0092714542625738,0.0004043717939056,-0.0001570505767811,0.0006155085214266
knn_distance_inverse,knn,all,interpolation_random,0.0094934301301121,0.0008670316881641,0.009174941899776,0.0006905082048188,-0.000318488230336,0.000605807267115
knn_uniform_inverse,knn,all,interpolation_random,0.0095571432045601,0.0008267031885584,0.0095581234131813,0.0005541433337861,9.802086212401529e-07,0.0005386144437209
knn_distance,knn,all,interpolation_random,0.0096311096902167,0.0009762077019379,0.0091833655239309,0.0006637751791527,-0.0004477441662857,0.0008432128851445
mlp_log_target_inverse,mlp,all,interpolation_random,0.0102073725537541,0.0008639501303597,0.0104314621293134,0.0016049065128421,0.0002240895755592,0.001116668129007
mlp_log_target_sqrt,mlp,all,interpolation_random,0.0106050562921952,0.002016788940404,0.0101692228355822,0.0013707899493489,-0.000435833456613,0.0024942866982991
svr_rbf_inverse,svr,all,interpolation_random,0.0106337922438278,0.0007763931532918,0.010717752452142,0.0005388532365903,8.396020831422015e-05,0.000471598423027
svr_rbf,svr,all,interpolation_random,0.0108654415962085,0.0015193581808736,0.0106057263609657,0.0010643004662113,-0.0002597152352427,0.0015461537245805
svr_rbf_sqrt,svr,all,interpolation_random,0.0111682331899279,0.0006337854221706,0.0109147916294099,0.0008208882434396,-0.0002534415605179,0.0008026194423753
svr_linear,svr,all,interpolation_random,0.0145847530641181,0.0017701424955478,0.0142557037503198,0.0013037812496551,-0.0003290493137983,0.0007919765760258
