model_id,model_family,feature_set,augmentation,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,NRMSE_mean,MBE_mean,fold_count
xgb_paper_sqrt,xgboost,all,rd,0.8630731929438589,0.0252872767984383,0.0066545012040002,0.0005436754670234,0.0023530125356479,0.0003313206378994,164.16994562191127,0.740982699941843,3.3712732307076305e-05,10
xgb_log_target_sqrt,xgboost,all,rd,0.8629003017395483,0.0483678195738486,0.0065766300401574,0.0009168005795494,0.0022735484238878,0.0002477315886339,182.5453930205808,0.7339745184039921,2.808752355416345e-06,10
xgb_log_target_sqrt,xgboost,all,rd_bt,0.8622066036840966,0.0605159190645966,0.0065560853169887,0.0011282882278498,0.0022093324245837,0.0002480905888464,159.96820275437813,0.7318605685115036,3.254410803437891e-05,10
xgb_paper_inverse,xgboost,all,rd,0.8601293615386479,0.0309400313112836,0.0067024928883106,0.0005927629383147,0.0024301650991514,0.0003215605451552,188.1790279663135,0.7470216190753758,6.5895362175914e-05,10
xgb_pseudohuber_sqrt,xgboost,all,rd,0.856099818436548,0.0293329474039143,0.0068032276132191,0.0005996459707505,0.0023230589611465,0.0002586163523742,191.79594940357907,0.758257813252756,7.645266653868844e-05,10
xgb_pseudohuber_inverse,xgboost,all,rd_bt,0.8540504946327099,0.0578713800559145,0.0067678748841054,0.0009682544796312,0.0023094998322041,0.0002860518372908,183.56911575895631,0.755839836050495,8.006967027431985e-05,10
xgb_pseudohuber_sqrt,xgboost,all,rd_bt,0.8534904672723516,0.0399945315400141,0.006830382867882,0.0006927064867168,0.0022834195448908,0.0002335493690209,169.5317567906899,0.7620794215633311,4.320886439147975e-05,10
xgb_pseudohuber_inverse,xgboost,all,rd,0.8503755249702921,0.0618955757853597,0.0068344675368634,0.0010771358713116,0.0023993589999407,0.0003204652895873,203.6639329534452,0.7636329583255703,7.025637352979307e-05,10
rf_paper_inverse,random_forest,all,rd,0.8479918647747109,0.039872056995693,0.0069764400593529,0.0009457621555259,0.0023386033026138,0.0003026150857619,136.63719968468172,0.7770141294919622,1.9546833426852117e-05,10
rf_paper_inverse,random_forest,all,rd_bt,0.8465115149759402,0.0370667874259933,0.0070258803316274,0.000858318168478,0.0022474623390989,0.0002647731176221,126.78878056509583,0.7824116391331272,3.698530152835705e-05,10
xgb_paper_bagging_sqrt,xgboost,all,rd_bt,0.8031347702728295,0.051761252888586,0.0079356677834057,0.0009426552732906,0.0031193736531804,0.000469549184691,209.35069366104344,0.8839070207999009,-9.530097606447227e-05,10
xgb_paper_bagging_sqrt,xgboost,all,rd,0.799670699786396,0.0451927809461206,0.0080224456226151,0.00082097365926,0.0031514627661159,0.0004707819745605,225.98153295906408,0.8934627599394321,-0.0001170132810196,10
knn_uniform_sqrt,knn,all,rd_bt,0.7471533249349924,0.0466333258617183,0.0090251079671308,0.0007164738558807,0.0033218629943814,0.0002037792562135,60.21036761972188,1.0054087544917685,-3.286576285432294e-05,10
knn_distance_inverse,knn,all,rd_bt,0.7391214508531421,0.0466878938435428,0.009174941899776,0.0006905082048188,0.0034868022205483,0.000285818029442,95.34074783687711,1.0223237854756366,-0.0001241252546828,10
knn_distance,knn,all,rd_bt,0.7385406903690208,0.0468745733334101,0.0091833655239309,0.0006637751791527,0.0033492481896974,0.0002102363690772,61.474617519973904,1.0232459072292517,-1.170984848758063e-05,10
