model_id,model_family,feature_set,protocol,augmentation,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_min,MAPE_max,MBE_mean,MBE_std,MBE_median,MBE_min,MBE_max,NRMSE_mean,NRMSE_std,NRMSE_median,NRMSE_min,NRMSE_max
xgb_pseudohuber_sqrt,xgboost,all,extrapolation_grouped,rd,0.3440112981506812,0.1849367685776986,0.4077848418200013,0.0694812602921652,0.6350759433844304,0.0134605095595455,0.0035425102435118,0.0130725958246763,0.009328015213676,0.0215288318242549,0.0057104448786074,0.0012520486806186,0.005803700253172,0.0038429320026919,0.0071997461360373,481.2526690012164,210.7415877203588,502.7137857261813,161.83709492111282,900.8354557791428,-3.1118305250959915e-05,0.001650456539259,0.000160120630767,-0.002802856127963,0.0026033972915145,1.579239963571672,0.4686380176435419,1.549956533549249,1.056097211010236,2.584953347511384
xgb_paper_bagging_sqrt,xgboost,all,extrapolation_grouped,rd,0.3272919693917647,0.2528029570414904,0.295821033565631,-0.021077738142367,0.7195369690310895,0.0134968767091126,0.0039049857698654,0.0132769506659257,0.0081775989965861,0.0214840020905962,0.0059291767906953,0.0015640894339696,0.0058989536980269,0.0039776639696892,0.008291796478423,559.2661666798974,276.3453131089112,464.50416160313193,187.33669781142515,1007.9474294921924,0.0001304758446125,0.0022192692373105,-0.0003541210546467,-0.0036466308963403,0.0042137653116854,1.5802821626424484,0.4991582784693232,1.5214737320362646,0.9258496363077102,2.579570669480579
xgb_log_target_inverse,xgboost,all,extrapolation_grouped,rd,0.2682230745774847,0.2612868278727017,0.3213107335393581,-0.2746919351160708,0.6258143820787014,0.0141176576793344,0.0037438662261506,0.013628956462076,0.0094456433693868,0.0219210766229484,0.0059397292756186,0.0013184373979119,0.005888293528126,0.0036849521279643,0.0078920894198142,577.1771794453819,292.81391025392736,626.1817549792995,197.74193454458657,996.77998081455,-0.000311709135208,0.0017818498852994,-0.0002026249651779,-0.0035493524179461,0.0024779473732269,1.6521691059584804,0.4810324163615208,1.6217750240424094,1.0694148101282472,2.632049934716093
knn_distance_inverse,knn,all,extrapolation_grouped,rd,0.2047194311820549,0.4728500496779089,0.3039285731317315,-0.8996552912352835,0.6618078001153465,0.0142915931604843,0.0045658566076599,0.0120529772750034,0.0096932142195478,0.0219759851781369,0.0061809606839403,0.0015793185551502,0.0057794362229027,0.0042103028471698,0.0097839462163852,456.1587026607466,299.2105211356774,455.73968650477616,123.14312172075306,1046.7933842063992,-0.0014185634729766,0.0016738813572762,-0.0010721325618538,-0.0042495765930456,0.0009387679799874,1.6534777472856388,0.5006806737087254,1.4588479111961576,1.088248503719789,2.638642770532743
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,0.2047194311820549,0.4728500496779089,0.3039285731317315,-0.8996552912352835,0.6618078001153465,0.0142915931604843,0.0045658566076599,0.0120529772750034,0.0096932142195478,0.0219759851781369,0.0061809606839403,0.0015793185551502,0.0057794362229027,0.0042103028471698,0.0097839462163852,456.1587026607466,299.2105211356774,455.73968650477616,123.14312172075306,1046.7933842063992,-0.0014185634729766,0.0016738813572762,-0.0010721325618538,-0.0042495765930456,0.0009387679799874,1.6534777472856388,0.5006806737087254,1.4588479111961576,1.088248503719789,2.638642770532743
knn_distance,knn,all,extrapolation_grouped,rd,0.2207646350619181,0.2790735327251258,0.1681433188592966,-0.2896948894887139,0.66589233381723,0.0145694967536232,0.0041050910046422,0.0148070651262976,0.0098979920534205,0.0217594357600723,0.0062432858819046,0.0018064021690182,0.0058610039718529,0.0032318350515463,0.0101555266691341,372.6027692794447,199.00975519023757,307.8351854982397,158.86200316141847,816.0742288296362,-0.0015054700144766,0.0012963151946702,-0.0012948684907376,-0.0043481758843439,0.0005086985596856,1.6928540714430802,0.4850254838452726,1.6335274378913145,1.1581842378948062,2.612641817592184
knn_uniform,knn,all,extrapolation_grouped,rd,0.2207646350619181,0.2790735327251258,0.1681433188592966,-0.2896948894887139,0.66589233381723,0.0145694967536232,0.0041050910046422,0.0148070651262976,0.0098979920534205,0.0217594357600723,0.0062432858819046,0.0018064021690182,0.0058610039718529,0.0032318350515463,0.0101555266691341,372.6027692794447,199.00975519023757,307.8351854982397,158.86200316141847,816.0742288296362,-0.0015054700144766,0.0012963151946702,-0.0012948684907376,-0.0043481758843439,0.0005086985596856,1.6928540714430802,0.4850254838452726,1.6335274378913145,1.1581842378948062,2.612641817592184
knn_distance_sqrt,knn,all,extrapolation_grouped,rd,0.0566728098328837,0.7014292708029088,0.3146115778290627,-1.5012434421198917,0.5746924832615097,0.0152169992138083,0.005298897814316,0.0122950588013608,0.0095661140972898,0.0232312681951592,0.0064380243826101,0.0023628745800079,0.0055123138123307,0.0035508453608247,0.0107895255963548,384.5906208423916,209.63902759407776,378.4962819187586,158.0771086931742,862.6511272929972,-0.0011827790087283,0.0018161251594791,-0.0013646222921994,-0.0049029538585302,0.0016180064326811,1.765959978906224,0.6089095256789987,1.4854601364490132,1.0739790865030494,2.7472102611687763
knn_uniform_sqrt,knn,all,extrapolation_grouped,rd,0.0566728098328837,0.7014292708029088,0.3146115778290627,-1.5012434421198917,0.5746924832615097,0.0152169992138083,0.005298897814316,0.0122950588013608,0.0095661140972898,0.0232312681951592,0.0064380243826101,0.0023628745800079,0.0055123138123307,0.0035508453608247,0.0107895255963548,384.5906208423916,209.63902759407776,378.4962819187586,158.0771086931742,862.6511272929972,-0.0011827790087283,0.0018161251594791,-0.0013646222921994,-0.0049029538585302,0.0016180064326811,1.765959978906224,0.6089095256789987,1.4854601364490132,1.0739790865030494,2.7472102611687763
svr_rbf_sqrt,svr,all,extrapolation_grouped,rd,0.1572531752466132,0.1874000963156456,0.152278484780739,-0.1621156624409134,0.4750797529174916,0.015331109708643,0.0037300109218437,0.0149304796077519,0.0101863660769844,0.0222622004335708,0.0089395543094946,0.0016019080831634,0.0088987646699154,0.0065319608385943,0.0115786054021371,1603.967626575297,894.4240618105787,1290.2118040800633,688.8441386700441,3535.881274120285,0.0015600715442186,0.0020769089265138,0.0007652546149724,-0.0005500461129634,0.0054900239764079,1.795415460770877,0.4914264344770448,1.7252678073697312,1.1436142223355732,2.673008456914714
svr_rbf_inverse,svr,all,extrapolation_grouped,rd,0.1154286746390912,0.2240520227525867,0.1440843136364029,-0.230706002119327,0.4844637176329552,0.0156042064280282,0.0034555410724063,0.0158058540161083,0.0107901898793585,0.0209840089594349,0.0099831088711201,0.0016908522569733,0.0097071042623971,0.0074610282073954,0.0128092240201679,2214.9867838011373,1301.5445669780142,1788.1147349904186,671.7984305871764,4375.235780880232,0.0012030427267868,0.002714495531357,0.0003415196425695,-0.002373964567191,0.0057959959410804,1.8156707566340275,0.4219253155296876,1.7034560433551889,1.3280608075886433,2.5195368075098625
svr_rbf,svr,all,extrapolation_grouped,rd,0.0505161889872859,0.2328233804962295,0.0591473548714484,-0.3820847710322286,0.4162232086824547,0.0161364132585677,0.0034090978527253,0.015705066065112,0.0119902122072169,0.021635223161914,0.0094630729417148,0.0014399656105768,0.0089358735623956,0.0074914744858931,0.0120233035629824,2026.6052148997487,1311.218661642123,1848.762986604992,614.0915483073101,4032.5632140688513,-0.0007450442653407,0.0017654065673411,-0.0002758646904878,-0.0038837123591938,0.0013521363695525,1.8884084725649293,0.4463747420284341,1.7704732813347557,1.1258534220599032,2.5977276887609686
mlp_log_target_sqrt,mlp,all,extrapolation_grouped,rd,-0.7998119046362822,1.910230292960544,-0.0651838388037264,-5.993929288264433,0.2752488697643115,0.0204605662405261,0.0084959706348221,0.0179110938646691,0.0125051638862018,0.0408365098385995,0.0095134921915775,0.0038234739854117,0.0086296627994233,0.0056315110374448,0.0189358022830109,1625.147297165392,832.9044998010227,1457.5885257350133,180.43069960963248,3221.786867849342,0.0011046529875267,0.0067916892960689,-0.0014320146378844,-0.0057038085688381,0.0168061184489296,2.361537020663116,0.9330086450012944,2.0839454975075062,1.4787963471115788,4.623419147591775
svr_linear,svr,all,extrapolation_grouped,rd,-1.0240694422077508,2.58325244658304,-0.197644882501485,-8.245673349425777,0.3515125750156461,0.0209452356056846,0.009595121785364,0.0176217614403817,0.0113827681664035,0.0446646782629649,0.0099373410682889,0.0023308598873697,0.0097153391485621,0.0060883114336425,0.0151859020660658,2148.3765868945484,1129.9997577417091,1728.007073071979,1046.8646339443512,4357.904148108512,-0.0008170490341682,0.0015347903473523,-0.000614070242654,-0.0029542970640145,0.0012647383681342,2.456439144124664,1.1692805587928126,2.084640764998987,1.2779332164450676,5.2818150694583
mlp_log_target_inverse,mlp,all,extrapolation_grouped,rd,-1.3325248205043485,3.667524490005588,0.0062741737687424,-11.667135424936909,0.1482112590935252,0.021451265653503,0.0121615752113176,0.0186242841632881,0.013556915361995,0.05495752998941,0.0117697644262783,0.0040766500676779,0.0108438019129405,0.0071108888470501,0.0188003274360546,2871.0472467833342,2128.514259000163,2719.089112594434,566.441422642355,7765.127415181829,0.0042342082456951,0.0063844603667178,0.0028123357613926,-0.0026784768396422,0.0148218131573541,2.5019378005695696,1.3817202282263064,2.3269918189564915,1.339497642733672,6.22216975597691
