model_id,model_family,feature_set,augmentation,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,NRMSE_mean,MBE_mean,fold_count
xgb_paper_bagging_sqrt,xgboost,all,rd,0.3272919693917647,0.2528029570414904,0.0134968767091126,0.0039049857698654,0.0059291767906953,0.0015640894339696,559.2661666798974,1.5802821626424484,0.0001304758446125,10
xgb_paper_bagging_sqrt,xgboost,all,rd_bt,0.320693570587563,0.2838985227332578,0.013519454558658,0.0041516160952992,0.0058523720925404,0.0016723657124682,547.194604351979,1.5795035358783611,6.599748806871995e-05,10
knn_distance_inverse,knn,all,rd_bt,0.2945032929625231,0.3336759681786426,0.0136231587812929,0.0039542749436373,0.0060027560610303,0.0011641217153659,472.22417497434833,1.5945032995811832,-0.0010562689447694,10
xgb_log_target_inverse,xgboost,all,rd,0.2682230745774847,0.2612868278727017,0.0141176576793344,0.0037438662261506,0.0059397292756186,0.0013184373979119,577.1771794453819,1.6521691059584804,-0.000311709135208,10
xgb_paper_inverse,xgboost,all,rd_bt,0.2669835462026169,0.300599238809203,0.0139749843350462,0.0035693436402742,0.0055146344298072,0.0018771096196502,380.78068515304864,1.6261354440479832,-0.0004383183621069,10
knn_uniform_inverse,knn,all,rd_bt,0.2521111449355732,0.3685130289630535,0.0139513826089441,0.0041420229403436,0.006108904405667,0.0014543895097915,457.42769300417297,1.622735761121173,-0.0011399678525206,10
knn_distance_sqrt,knn,all,rd_bt,0.2401875735931145,0.3917673672883244,0.0140682580468681,0.0044640111831721,0.0060890755664809,0.0018201626724301,393.2756180047736,1.6348898882762053,-0.0011631356133286,10
knn_distance,knn,all,rd,0.2207646350619181,0.2790735327251258,0.0145694967536232,0.0041050910046422,0.0062432858819046,0.0018064021690182,372.6027692794447,1.6928540714430802,-0.0015054700144766,10
knn_uniform,knn,all,rd,0.2207646350619181,0.2790735327251258,0.0145694967536232,0.0041050910046422,0.0062432858819046,0.0018064021690182,372.6027692794447,1.6928540714430802,-0.0015054700144766,10
knn_distance_inverse,knn,all,rd,0.2047194311820549,0.4728500496779089,0.0142915931604843,0.0045658566076599,0.0061809606839403,0.0015793185551502,456.1587026607466,1.6534777472856388,-0.0014185634729766,10
knn_uniform_inverse,knn,all,rd,0.2047194311820549,0.4728500496779089,0.0142915931604843,0.0045658566076599,0.0061809606839403,0.0015793185551502,456.1587026607466,1.6534777472856388,-0.0014185634729766,10
knn_distance,knn,all,rd_bt,0.1659252540518994,0.3187398151448563,0.0149436595253192,0.0037178390625108,0.0063583668408171,0.0018236985525921,360.3942541841183,1.7424443805124803,-0.0013198850514684,10
svr_rbf_sqrt,svr,all,rd,0.1572531752466132,0.1874000963156456,0.015331109708643,0.0037300109218437,0.0089395543094946,0.0016019080831634,1603.967626575297,1.795415460770877,0.0015600715442186,10
knn_uniform,knn,all,rd_bt,0.1454935259129324,0.2920604804364137,0.0152681206396164,0.0038130607701703,0.0063593621058405,0.0018842180848854,363.60382034184,1.7785122386485817,-0.0015568792186306,10
svr_rbf_sqrt,svr,all,rd_bt,0.1454823481533697,0.1603609313777491,0.0154912282410089,0.0038117023335259,0.0092841038902209,0.0018756851724675,1807.93840589506,1.8116816371981772,0.0017102678467224,10
svr_rbf_inverse,svr,all,rd,0.1154286746390912,0.2240520227525867,0.0156042064280282,0.0034555410724063,0.0099831088711201,0.0016908522569733,2214.9867838011373,1.8156707566340275,0.0012030427267868,10
svr_rbf_inverse,svr,all,rd_bt,0.0808163167435928,0.327809111627186,0.0157907642062697,0.0038141771266793,0.0101591628782644,0.0018679372229771,2245.70045749101,1.8390802892567983,0.0017278333126585,10
knn_uniform_sqrt,knn,all,rd_bt,0.0710737137117325,0.8886424228355125,0.0148569569483358,0.0059548802646513,0.0062044960365018,0.0020478445739325,398.65573114560704,1.7316558725828637,-0.0010101441924074,10
svr_rbf,svr,all,rd_bt,0.0694734435921577,0.2277354319303766,0.0159612460510221,0.0033025314846692,0.0093286560265228,0.0015890536776505,2099.5416861384138,1.8727250993474776,-0.0008422078300772,10
knn_distance_sqrt,knn,all,rd,0.0566728098328837,0.7014292708029088,0.0152169992138083,0.005298897814316,0.0064380243826101,0.0023628745800079,384.5906208423916,1.765959978906224,-0.0011827790087283,10
knn_uniform_sqrt,knn,all,rd,0.0566728098328837,0.7014292708029088,0.0152169992138083,0.005298897814316,0.0064380243826101,0.0023628745800079,384.5906208423916,1.765959978906224,-0.0011827790087283,10
svr_rbf,svr,all,rd,0.0505161889872859,0.2328233804962295,0.0161364132585677,0.0034090978527253,0.0094630729417148,0.0014399656105768,2026.6052148997487,1.8884084725649293,-0.0007450442653407,10
mlp_log_target_sqrt,mlp,all,rd_bt,-0.6961545152191372,2.1219742307131733,0.0194673434413255,0.0090082061995652,0.0089909222151038,0.0016613067681395,1625.1456133035958,2.265218518630797,5.343732134904348e-05,10
mlp_log_target_sqrt,mlp,all,rd,-0.7998119046362822,1.910230292960544,0.0204605662405261,0.0084959706348221,0.0095134921915775,0.0038234739854117,1625.147297165392,2.361537020663116,0.0011046529875267,10
svr_linear,svr,all,rd,-1.0240694422077508,2.58325244658304,0.0209452356056846,0.009595121785364,0.0099373410682889,0.0023308598873697,2148.3765868945484,2.456439144124664,-0.0008170490341682,10
mlp_log_target_inverse,mlp,all,rd_bt,-1.1078266851328094,2.7699443599553546,0.0210398425062999,0.0098087379166102,0.0105038439419968,0.0023170757666517,2292.963262435429,2.453312660431223,0.0021613472103985,10
mlp_log_target_inverse,mlp,all,rd,-1.3325248205043485,3.667524490005588,0.021451265653503,0.0121615752113176,0.0117697644262783,0.0040766500676779,2871.0472467833342,2.5019378005695696,0.0042342082456951,10
svr_linear,svr,all,rd_bt,-3.093429239857993,4.13447324199667,0.0290166378651322,0.0137816868479818,0.0115370851340594,0.0031527304948322,2400.536817140089,3.3317623399829506,-0.0015129441194107,10
