model_id,model_family,feature_set,augmentation,random_RMSE_mean,random_RMSE_std,grouped_RMSE_mean,grouped_RMSE_std,generalization_gap_mean,generalization_gap_std
svr_rbf_sqrt,svr,all,rd,0.0111682331899279,0.0006337854221706,0.015331109708643,0.0037300109218437,0.0041628765187151,0.0040043959848783
svr_rbf_sqrt,svr,all,rd_bt,0.0109147916294099,0.0008208882434396,0.0154912282410089,0.0038117023335259,0.0045764366115989,0.0038531307088266
svr_rbf_inverse,svr,all,rd,0.0106337922438278,0.0007763931532918,0.0156042064280282,0.0034555410724063,0.0049704141842004,0.0038398126653824
svr_rbf_inverse,svr,all,rd_bt,0.010717752452142,0.0005388532365903,0.0157907642062697,0.0038141771266793,0.0050730117541277,0.0037881780389503
svr_rbf,svr,all,rd_bt,0.0106057263609657,0.0010643004662113,0.0159612460510221,0.0033025314846692,0.0053555196900563,0.0034057314320622
svr_rbf,svr,all,rd,0.0108654415962085,0.0015193581808736,0.0161364132585677,0.0034090978527253,0.0052709716623591,0.0043976163582808
mlp_log_target_sqrt,mlp,all,rd_bt,0.0101692228355822,0.0013707899493489,0.0194673434413255,0.0090082061995652,0.0092981206057433,0.009243235145474
mlp_log_target_sqrt,mlp,all,rd,0.0106050562921952,0.002016788940404,0.0204605662405261,0.0084959706348221,0.0098555099483308,0.0092961800384558
svr_linear,svr,all,rd,0.0145847530641181,0.0017701424955478,0.0209452356056846,0.009595121785364,0.0063604825415665,0.0103254697374968
mlp_log_target_inverse,mlp,all,rd_bt,0.0104314621293134,0.0016049065128421,0.0210398425062999,0.0098087379166102,0.0106083803769865,0.0102318584064188
mlp_log_target_inverse,mlp,all,rd,0.0102073725537541,0.0008639501303597,0.021451265653503,0.0121615752113176,0.0112438930997489,0.0124293284798011
svr_linear,svr,all,rd_bt,0.0142557037503198,0.0013037812496551,0.0290166378651322,0.0137816868479818,0.0147609341148124,0.0145404266244964
