split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,mlp_all,mlp,all,879,15,0.6056223308237573,0.8230245502879764,0.22148887813091278,0.06752891477654512,0.49846782431052095,0.5381499581737331,0.35988200589970504,0.7164179104477612,0.8106312292358804,0.0,0.8709055876685935,0.5,1.0,0.0,0.7713310580204779,0.06752891477654512,0.49846782431052095,0.5381499581737331,0.35988200589970504,0.7164179104477612,0.8106312292358804,0.06752891477654512,0.49846782431052095,0.5381499581737331,0.35988200589970504,0.7164179104477612,0.8106312292358804
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,mlp_all,mlp,all,901,83,0.8850545648123502,0.9606778940827059,0.1448124498128891,0.5610853515378604,0.8134135855546002,0.8251696832579185,0.6955882352941176,0.9547511312217195,0.979296066252588,0.4457894080162958,0.8817354793561931,0.6940045248868778,0.9264705882352942,0.46153846153846156,0.8411214953271028,0.5610853515378604,0.8134135855546002,0.8251696832579185,0.6955882352941176,0.9547511312217195,0.979296066252588,0.5610853515378604,0.8134135855546002,0.8251696832579185,0.6955882352941176,0.9547511312217195,0.979296066252588
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,mlp_all,mlp,all,901,83,0.899780409901517,0.9678620621906963,0.13027918338775635,0.5871785821344762,0.8359966358284272,0.8382918552036198,0.7308823529411764,0.9457013574660633,0.9764243614931237,0.4119807371935975,0.8834688346883469,0.6536199095022625,0.9588235294117647,0.34841628959276016,0.8190954773869347,0.5871785821344762,0.8359966358284272,0.8382918552036198,0.7308823529411764,0.9457013574660633,0.9764243614931237,0.5871785821344762,0.8359966358284272,0.8382918552036198,0.7308823529411764,0.9457013574660633,0.9764243614931237
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,mlp_all,mlp,all,900,79,0.8619809541580312,0.9496631531048786,0.16311441361904144,0.5250267407456527,0.8398058252427184,0.7962068253153759,0.7643593519882179,0.8280542986425339,0.9317773788150808,0.38375275616922244,0.8759424263193969,0.6515403941116494,0.9410898379970545,0.36199095022624433,0.8192307692307692,0.5279172332114183,0.8337428337428338,0.8001552722595779,0.7496318114874816,0.8506787330316742,0.9391143911439115,0.5279172332114183,0.8337428337428338,0.8001552722595779,0.7496318114874816,0.8506787330316742,0.9391143911439115
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,mlp_all,mlp,all,900,81,0.8699878047967798,0.9586130425822723,0.17129704356193542,0.5377916371800865,0.8208578637510513,0.809578232561859,0.7187039764359352,0.9004524886877828,0.9568627450980393,0.42204115013882243,0.8676258992805755,0.6996914546944868,0.8880706921944035,0.5113122171945701,0.8481012658227848,0.5304727614334577,0.784070796460177,0.8081154745799985,0.6524300441826215,0.9638009049773756,0.9822616407982262,0.5304727614334577,0.784070796460177,0.8081154745799985,0.6524300441826215,0.9638009049773756,0.9822616407982262
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,mlp_all,mlp,all,900,82,0.8671289292878134,0.9528194162067445,0.14717786014080048,0.5251245494400367,0.835236541598695,0.7978395164568604,0.7540500736377025,0.8416289592760181,0.9360146252285192,0.32143923481294273,0.8740053050397878,0.600657074883879,0.9705449189985272,0.23076923076923078,0.7949336550060314,0.5073964782130977,0.7899305555555556,0.7943275644913,0.6701030927835051,0.918552036199095,0.9619450317124736,0.5073964782130977,0.7899305555555556,0.7943275644913,0.6701030927835051,0.918552036199095,0.9619450317124736
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,mlp_all,mlp,all,900,82,0.8760687462931247,0.9528778619663951,0.15658025443553925,0.5170883557189433,0.8350934199837531,0.7925249401901918,0.7569955817378498,0.8280542986425339,0.9311594202898551,0.4891906980254697,0.8849177984274482,0.7273105911674741,0.9116347569955817,0.5429864253393665,0.8597222222222223,0.5431792303312901,0.8106255355612683,0.8143696812587049,0.6966126656848306,0.9321266968325792,0.9692622950819673,0.5431792303312901,0.8106255355612683,0.8143696812587049,0.6966126656848306,0.9321266968325792,0.9692622950819673
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,mlp_all,mlp,all,875,18,0.6401162617822842,0.8297138710520939,0.2067432403564453,0.1781558242118112,0.7483766233766234,0.6022828640242633,0.6819526627218935,0.5226130653266332,0.829136690647482,0.0,0.8716956802063185,0.5,1.0,0.0,0.7725714285714286,0.1781558242118112,0.7483766233766234,0.6022828640242633,0.6819526627218935,0.5226130653266332,0.829136690647482,0.1781558242118112,0.7483766233766234,0.6022828640242633,0.6819526627218935,0.5226130653266332,0.829136690647482
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,mlp_all,mlp,all,1017,12,0.7321459654958997,0.8927776199274844,0.2684560716152191,0.3209563748697267,0.7477203647416414,0.6776555005415441,0.6684782608695652,0.6868327402135231,0.8482758620689655,-0.08525616290675818,0.8269896193771626,0.48709239130434784,0.9741847826086957,0.0,0.718436873747495,0.3209563748697267,0.7477203647416414,0.6776555005415441,0.6684782608695652,0.6868327402135231,0.8482758620689655,0.3209563748697267,0.7477203647416414,0.6776555005415441,0.6684782608695652,0.6868327402135231,0.8482758620689655
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,mlp_all,mlp,all,863,19,0.6711006899039546,0.8684959893961238,0.19221366941928864,0.11225190149530495,0.8171886380189366,0.5505816837263832,0.8474320241691843,0.2537313432835821,0.7890295358649789,0.06181264576680039,0.868766404199475,0.5024875621890548,1.0,0.004975124378109453,0.7679814385150812,0.24854184855245423,0.7506339814032121,0.6438051434669552,0.6706948640483383,0.6169154228855721,0.8522072936660269,0.24854184855245423,0.7506339814032121,0.6438051434669552,0.6706948640483383,0.6169154228855721,0.8522072936660269
