split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,mlp_all,0.8226475119590759,0.0021666823886334896,0.8226475119590759,0.8226475119590759
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,mlp_all,0.9206276535987854,2.2563437229727867e-11,0.7851694822311401,0.7851694822311401
lopo__seed-42__fold-0,lopo,42,0,mlp_all,0.9584086537361145,0.0,0.9470993876457214,0.9470993876457214
lopo__seed-42__fold-1,lopo,42,1,mlp_all,0.6304568648338318,2.062275505920752e-08,0.8175244927406311,0.8175244927406311
lopo__seed-42__fold-2,lopo,42,2,mlp_all,0.9388240575790405,0.027512015774846077,0.9388240575790405,0.9388240575790405
lopo__seed-42__fold-3,lopo,42,3,mlp_all,0.4309418797492981,0.019974157214164734,0.9255366325378418,0.9255366325378418
lopo__seed-42__fold-4,lopo,42,4,mlp_all,0.7704012989997864,7.019772965577431e-06,0.7704012989997864,0.7704012989997864
lopo__seed-42__fold-5,lopo,42,5,mlp_all,0.6938184499740601,0.1302335262298584,0.6938184499740601,0.6938184499740601
lopo__seed-42__fold-6,lopo,42,6,mlp_all,0.8290975689888,0.08842141181230545,0.7855373024940491,0.7855373024940491
lopo__seed-42__fold-7,lopo,42,7,mlp_all,0.613237202167511,0.09580757468938828,0.613237202167511,0.613237202167511
lopo__seed-42__fold-8,lopo,42,8,mlp_all,0.6294901967048645,0.05377708747982979,0.6273699998855591,0.6273699998855591
lopo__seed-42__fold-9,lopo,42,9,mlp_all,0.5257478952407837,8.121252975668014e-11,0.7660267353057861,0.7660267353057861
lopo__seed-42__fold-10,lopo,42,10,mlp_all,0.3581487238407135,0.0,0.6433791518211365,0.6433791518211365
lopo__seed-42__fold-11,lopo,42,11,mlp_all,0.5717235803604126,2.3109659252895653e-07,0.768909215927124,0.768909215927124
lopo__seed-42__fold-12,lopo,42,12,mlp_all,0.4859325587749481,0.0,0.8091965317726135,0.8091965317726135
lopo__seed-42__fold-13,lopo,42,13,mlp_all,0.9068524241447449,0.05277881398797035,0.9068524241447449,0.9068524241447449
lopo__seed-42__fold-14,lopo,42,14,mlp_all,0.7000097036361694,0.030475251376628876,0.7706379294395447,0.7706379294395447
lopo__seed-42__fold-15,lopo,42,15,mlp_all,0.8596852421760559,0.0,0.9917923212051392,0.9917923212051392
lopo__seed-42__fold-16,lopo,42,16,mlp_all,0.44369232654571533,0.0,0.6237939596176147,0.6237939596176147
lopo__seed-42__fold-17,lopo,42,17,mlp_all,0.9216242432594299,1.5759645810575762e-09,0.8116608262062073,0.8116608262062073
lopo__seed-42__fold-18,lopo,42,18,mlp_all,0.9135850071907043,0.014243158511817455,0.9135850071907043,0.9135850071907043
lopo__seed-42__fold-19,lopo,42,19,mlp_all,0.9498425722122192,0.008206642232835293,0.577178418636322,0.577178418636322
lopo__seed-42__fold-20,lopo,42,20,mlp_all,0.6340795159339905,0.02009350247681141,0.6083185076713562,0.6083185076713562
lopo__seed-42__fold-21,lopo,42,21,mlp_all,0.6279170513153076,0.020335573703050613,0.94502854347229,0.94502854347229
lopo__seed-42__fold-22,lopo,42,22,mlp_all,0.4072127938270569,0.026043420657515526,0.6342865228652954,0.6342865228652954
lopo__seed-42__fold-23,lopo,42,23,mlp_all,0.39164644479751587,2.5883368104400893e-15,0.6825610995292664,0.6825610995292664
lopo__seed-42__fold-24,lopo,42,24,mlp_all,0.4410899579524994,2.1666217435267754e-05,0.5080922842025757,0.5080922842025757
lopo__seed-42__fold-25,lopo,42,25,mlp_all,0.6305291652679443,0.01687990128993988,0.6845510601997375,0.6845510601997375
lopo__seed-42__fold-26,lopo,42,26,mlp_all,0.5450476408004761,0.0006243840325623751,0.5509079694747925,0.5509079694747925
lopo__seed-42__fold-27,lopo,42,27,mlp_all,0.5982401371002197,0.0,0.9057449698448181,0.9057449698448181
lopo__seed-42__fold-28,lopo,42,28,mlp_all,0.6325381994247437,0.006606108043342829,0.6325381994247437,0.6325381994247437
lopo__seed-42__fold-29,lopo,42,29,mlp_all,0.4906209707260132,4.7693720262032e-06,0.5149464011192322,0.5149464011192322
lopo__seed-42__fold-30,lopo,42,30,mlp_all,0.8267163634300232,8.537351448012487e-08,0.8128330111503601,0.8128330111503601
lopo__seed-42__fold-31,lopo,42,31,mlp_all,0.48424214124679565,1.0098199709318578e-05,0.9119847416877747,0.9119847416877747
lopo__seed-42__fold-32,lopo,42,32,mlp_all,0.6091075539588928,0.1357984095811844,0.6091075539588928,0.6091075539588928
lopo__seed-42__fold-33,lopo,42,33,mlp_all,0.7783752679824829,0.0,0.7783752679824829,0.7783752679824829
lopo__seed-42__fold-34,lopo,42,34,mlp_all,0.961528480052948,0.012088148854672909,0.961528480052948,0.961528480052948
lopo__seed-42__fold-35,lopo,42,35,mlp_all,0.28422752022743225,0.0,0.9632643461227417,0.9632643461227417
lopo__seed-42__fold-36,lopo,42,36,mlp_all,0.5928385257720947,0.10026726126670837,0.5909493565559387,0.5909493565559387
lopo__seed-42__fold-37,lopo,42,37,mlp_all,0.5668861269950867,0.2831222414970398,0.5668861269950867,0.5668861269950867
lopo__seed-42__fold-38,lopo,42,38,mlp_all,0.8915892839431763,2.5840888540074047e-08,0.8867024779319763,0.8867024779319763
lopo__seed-42__fold-39,lopo,42,39,mlp_all,0.6438555121421814,0.08596885204315186,0.6494621634483337,0.6494621634483337
lopo__seed-42__fold-40,lopo,42,40,mlp_all,0.5259735584259033,0.13264191150665283,0.6045669317245483,0.6045669317245483
lopo__seed-42__fold-41,lopo,42,41,mlp_all,0.7186481952667236,1.0883096893566247e-14,0.7205540537834167,0.7205540537834167
lopo__seed-42__fold-42,lopo,42,42,mlp_all,0.7743879556655884,0.0007156743085943162,0.7675466537475586,0.7675466537475586
lopo__seed-42__fold-43,lopo,42,43,mlp_all,0.47915616631507874,0.0,0.7783540487289429,0.7783540487289429
lopo__seed-42__fold-44,lopo,42,44,mlp_all,0.7963377833366394,0.0,0.8035309314727783,0.8035309314727783
lopo__seed-42__fold-45,lopo,42,45,mlp_all,0.8497869372367859,0.00032392374123446643,0.8426942229270935,0.8426942229270935
lopo__seed-42__fold-46,lopo,42,46,mlp_all,0.48889562487602234,0.0,0.7202314734458923,0.7202314734458923
lopo__seed-42__fold-47,lopo,42,47,mlp_all,0.8672611713409424,2.0064033378730528e-05,0.8672611713409424,0.8672611713409424
lopo__seed-42__fold-48,lopo,42,48,mlp_all,0.28893280029296875,0.0,0.8342095017433167,0.8342095017433167
lopo__seed-42__fold-49,lopo,42,49,mlp_all,0.5852800011634827,0.003411355195567012,0.7952229976654053,0.7952229976654053
lopo__seed-42__fold-50,lopo,42,50,mlp_all,0.7809944748878479,0.10532816499471664,0.7262666821479797,0.7262666821479797
lopo__seed-42__fold-51,lopo,42,51,mlp_all,0.46112769842147827,1.7378827124048257e-06,0.7807819247245789,0.7807819247245789
lopo__seed-42__fold-52,lopo,42,52,mlp_all,0.3136376142501831,0.0,0.8289670944213867,0.8289670944213867
lopo__seed-42__fold-53,lopo,42,53,mlp_all,0.6917014718055725,0.0002882920962292701,0.6449721455574036,0.6449721455574036
lopo__seed-42__fold-54,lopo,42,54,mlp_all,0.7639433145523071,1.5973801055224612e-06,0.7639433145523071,0.7639433145523071
