candidate_id,model_id,model_family,protocol,split_id,seed,fold,selected_hyperparameters
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-6,42,6,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-7,42,7,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-8,42,8,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-9,42,9,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-10,42,10,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-11,42,11,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-12,42,12,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-13,42,13,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-14,42,14,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-15,42,15,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-16,42,16,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-17,42,17,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-18,42,18,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-19,42,19,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-20,42,20,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-21,42,21,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-22,42,22,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-23,42,23,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-24,42,24,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-25,42,25,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-26,42,26,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-27,42,27,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-28,42,28,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-29,42,29,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-30,42,30,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-31,42,31,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-32,42,32,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-33,42,33,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-34,42,34,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-35,42,35,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-36,42,36,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-37,42,37,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-38,42,38,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-39,42,39,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-40,42,40,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-41,42,41,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-42,42,42,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-43,42,43,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
