protocol,augmentation,model_a,model_b,paired_fold_count,delta_RMSE,wilcoxon_p_RMSE,delta_MAE,wilcoxon_p_MAE,delta_R2,wilcoxon_p_R2,caveat
extrapolation_grouped,rd,knn_distance_inverse,xgb_log_target_sqrt,10,0.00151827750608088,0.193359375,0.0009691117719710299,0.00390625,-0.20952526167852176,0.10546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_paper_bagging_sqrt,10,0.0007947164513717401,0.375,0.00025178389324506,0.431640625,-0.12257253820970984,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_paper_inverse,10,0.0008421088503817303,0.6953125,0.0007812534702374899,0.10546875,-0.13572182838041486,0.556640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_paper_sqrt,10,0.00132703003939786,0.4921875,0.0008718529195903598,0.064453125,-0.19736047201490894,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_pseudohuber_inverse,10,0.0011246796225273202,0.556640625,0.0008755756780706801,0.064453125,-0.15651687330071387,0.431640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_inverse,xgb_pseudohuber_sqrt,10,0.0008310836009388702,0.6953125,0.00047051580533298,0.375,-0.13929186696862636,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,knn_uniform,10,0.0006475024601850895,0.76953125,0.00019473850070549997,0.921875,-0.16409182522903443,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,knn_uniform_inverse,10,0.0009254060533239999,0.4921875,0.00025706369866974,0.4921875,-0.1480466213491712,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,knn_uniform_sqrt,10,0.0,1.0,0.0,1.0,0.0,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,mlp_log_target_inverse,10,-0.00623426643969463,0.275390625,-0.005331740043668221,0.009765625,1.389197630337232,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,mlp_log_target_sqrt,10,-0.00524356702671772,0.064453125,-0.00307546780896743,0.01953125,0.8564847144691659,0.064453125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,rf_baseline,10,0.0030118743045675998,0.037109375,0.00161863282851882,0.02734375,-0.4009406620703224,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,rf_paper_inverse,10,0.0018565099298407301,0.232421875,0.0014081803277230698,0.02734375,-0.2751772234769879,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,rf_paper_sqrt,10,0.00238219872782241,0.16015625,0.00146381736592241,0.02734375,-0.3461428981599946,0.16015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,svr_linear,10,-0.005728236391876301,0.01953125,-0.0034993166856788797,0.00390625,1.0807422520406347,0.02734375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,svr_rbf,10,-0.0009194140447593405,0.4921875,-0.0030250485591047102,0.005859375,0.006156620845597732,0.4921875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,svr_rbf_inverse,10,-0.00038720721421986996,0.625,-0.0035450844885099803,0.00390625,-0.05875586480620758,0.845703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,svr_rbf_sqrt,10,-0.00011411049483471009,0.431640625,-0.0025015299268844994,0.01953125,-0.10058036541372954,0.431640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_absoluteerror_inverse,10,0.00247746588904114,0.037109375,0.00130365755923743,0.013671875,-0.3471894754987567,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_absoluteerror_sqrt,10,0.0025171989553964204,0.064453125,0.00135601489884815,0.001953125,-0.3561721900108531,0.048828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_baseline,10,0.00227106911023987,0.322265625,0.00097803425698136,0.232421875,-0.33970852868284324,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_log_target_inverse,10,0.0010993415344739,0.6953125,0.0004982951069915199,0.375,-0.21155026474460095,0.556640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_log_target_sqrt,10,0.00244368355940488,0.064453125,0.0012261754706407698,0.009765625,-0.35757188302769294,0.064453125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_paper_bagging_sqrt,10,0.0017201225046957404,0.193359375,0.0005088475919148,0.375,-0.27061915955888105,0.193359375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_paper_inverse,10,0.0017675149037057302,0.431640625,0.00103831716890723,0.083984375,-0.2837684497295861,0.275390625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_paper_sqrt,10,0.0022524360927218597,0.4921875,0.0011289166182601,0.275390625,-0.34540709336408015,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_pseudohuber_inverse,10,0.0020500856758513203,0.322265625,0.00113263937674042,0.10546875,-0.3045634946498851,0.275390625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_distance_sqrt,xgb_pseudohuber_sqrt,10,0.00175648965426287,0.431640625,0.00072757950400272,0.322265625,-0.28733848831779757,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,knn_uniform_inverse,10,0.0002779035931389104,0.921875,6.232519796424002e-05,0.6953125,0.016045203879863208,0.845703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,knn_uniform_sqrt,10,-0.0006475024601850895,0.76953125,-0.00019473850070549997,0.921875,0.16409182522903443,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,mlp_log_target_inverse,10,-0.00688176889987972,0.083984375,-0.005526478544373719,0.001953125,1.5532894555662664,0.083984375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,mlp_log_target_sqrt,10,-0.00589106948690281,0.005859375,-0.00327020630967293,0.00390625,1.0205765396982003,0.009765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,rf_baseline,10,0.00236437184438251,0.037109375,0.00142389432781332,0.013671875,-0.236848836841288,0.02734375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,rf_paper_inverse,10,0.0012090074696556406,0.322265625,0.00121344182701757,0.009765625,-0.11108539824795352,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,rf_paper_sqrt,10,0.0017346962676373205,0.10546875,0.0012690788652169101,0.01953125,-0.18205107293096018,0.064453125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,svr_linear,10,-0.00637573885206139,0.013671875,-0.0036940551863843805,0.00390625,1.244834077269669,0.013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,svr_rbf,10,-0.0015669165049444302,0.130859375,-0.0032197870598102097,0.00390625,0.17024844607463216,0.130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,svr_rbf_inverse,10,-0.0010347096744049594,0.10546875,-0.0037398229892154798,0.001953125,0.10533596042282685,0.083984375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,svr_rbf_sqrt,10,-0.0007616129550197996,0.322265625,-0.00269626842759,0.00390625,0.0635114598153049,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_absoluteerror_inverse,10,0.00182996342885605,0.01953125,0.0011089190585319298,0.009765625,-0.1830976502697222,0.013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_absoluteerror_sqrt,10,0.0018696964952113304,0.01953125,0.00116127639814265,0.001953125,-0.19208036478181872,0.01953125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_baseline,10,0.0016235666500547807,0.064453125,0.0007832957562758601,0.10546875,-0.17561670345380878,0.048828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_log_target_inverse,10,0.00045183907428881056,0.625,0.00030355660628601994,0.556640625,-0.047458439515566525,0.556640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_log_target_sqrt,10,0.0017961810992197906,0.02734375,0.0010314369699352698,0.009765625,-0.19348005779865854,0.013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_paper_bagging_sqrt,10,0.0010726200445106506,0.16015625,0.0003141090912093,0.322265625,-0.1065273343298466,0.16015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_paper_inverse,10,0.0011200124435206407,0.130859375,0.00084357866820173,0.10546875,-0.11967662450055168,0.130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_paper_sqrt,10,0.0016049336325367702,0.10546875,0.0009341781175546002,0.130859375,-0.18131526813504575,0.083984375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_pseudohuber_inverse,10,0.0014025832156662307,0.130859375,0.0009379008760349201,0.083984375,-0.14047166942085068,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform,xgb_pseudohuber_sqrt,10,0.0011089871940777806,0.130859375,0.00053284100329722,0.275390625,-0.12324666308876316,0.130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,knn_uniform_sqrt,10,-0.0009254060533239999,0.4921875,-0.00025706369866974,0.4921875,0.1480466213491712,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,mlp_log_target_inverse,10,-0.007159672493018629,0.10546875,-0.005588803742337961,0.001953125,1.5372442516864033,0.130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,mlp_log_target_sqrt,10,-0.00616897308004172,0.009765625,-0.0033325315076371703,0.001953125,1.0045313358183372,0.009765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,rf_baseline,10,0.0020864682512436,0.10546875,0.00136156912984908,0.009765625,-0.2528940407211512,0.10546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,rf_paper_inverse,10,0.0009311038765167301,0.625,0.00115111662905333,0.00390625,-0.12713060212781674,0.625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,rf_paper_sqrt,10,0.00145679267449841,0.322265625,0.00120675366725267,0.009765625,-0.19809627681082337,0.193359375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,svr_linear,10,-0.0066536424452003,0.02734375,-0.00375638038434862,0.00390625,1.228788873389806,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,svr_rbf,10,-0.0018448200980833405,0.193359375,-0.00328211225777445,0.00390625,0.15420324219476897,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,svr_rbf_inverse,10,-0.0013126132675438699,0.130859375,-0.00380214818717972,0.001953125,0.08929075654296363,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,svr_rbf_sqrt,10,-0.00103951654815871,0.275390625,-0.00275859362555424,0.001953125,0.04746625593544171,0.275390625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_absoluteerror_inverse,10,0.00155205983571714,0.064453125,0.0010465938605676898,0.009765625,-0.19914285414958544,0.048828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_absoluteerror_sqrt,10,0.00159179290207242,0.193359375,0.0010989512001784102,0.005859375,-0.20812556866168191,0.16015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
