model_id,model_family,feature_set,protocol,rd_mean,rd_std,rd_bt_mean,rd_bt_std,delta_RMSE_bt_minus_rd_mean,delta_RMSE_bt_minus_rd_std
xgb_absoluteerror_sqrt,xgboost,all,interpolation_random,0.00633752838669428,0.0006797672308537134,0.0065221199238567505,0.0008824927189427217,0.00018459153716247006,0.0003821519088445681
xgb_baseline,xgboost,all,interpolation_random,0.00636049321836536,0.0008506908793818062,0.00623559962085776,0.0006983651002771919,-0.00012489359750759996,0.0003010090473234439
rf_paper_sqrt,random_forest,all,interpolation_random,0.006499994857145671,0.0007328078707268358,0.006404465864495159,0.0008869110684141103,-9.552899265051015e-05,0.0003069938824813228
xgb_log_target_inverse,xgboost,all,interpolation_random,0.00656133299651222,0.0008266682510226356,0.00650523356840413,0.00077829878663317,-5.609942810809003e-05,0.00029896349937004094
xgb_log_target_sqrt,xgboost,all,interpolation_random,0.006576630040157461,0.0009168005795494766,0.00655608531698878,0.0011282882278498831,-2.054472316867992e-05,0.0002788578809885201
xgb_absoluteerror_inverse,xgboost,all,interpolation_random,0.00661489405620321,0.0006550780167338397,0.00662591816300562,0.0006839668720023795,1.1024106802409988e-05,0.0005417981607870002
xgb_paper_sqrt,xgboost,all,interpolation_random,0.006654501204000229,0.000543675467023483,0.006644354243971589,0.00045857171360558284,-1.0146960028640119e-05,0.00033402319039154755
xgb_paper_inverse,xgboost,all,interpolation_random,0.0067024928883106195,0.000592762938314789,0.006549325169467731,0.0004761032154874047,-0.00015316771884289014,0.0003244683138334373
xgb_pseudohuber_sqrt,xgboost,all,interpolation_random,0.006803227613219121,0.0005996459707505807,0.00683038286788209,0.0006927064867168348,2.7155254662969938e-05,0.0004677028458687876
xgb_pseudohuber_inverse,xgboost,all,interpolation_random,0.00683446753686343,0.0010771358713116204,0.00676787488410549,0.0009682544796312734,-6.659265275794019e-05,0.00027161199708744494
rf_paper_inverse,random_forest,all,interpolation_random,0.00697644005935299,0.0009457621555259031,0.007025880331627479,0.0008583181684780525,4.944027227448992e-05,0.0002570808440548082
xgb_paper_bagging_sqrt,xgboost,all,interpolation_random,0.008022445622615119,0.0008209736592600693,0.00793566778340576,0.0009426552732906651,-8.677783920936011e-05,0.0002539863750030508
knn_uniform,knn,all,interpolation_random,0.00931277781830187,0.0007526873529318912,0.009313522702272639,0.0007653712473231378,7.448839707696782e-07,0.0005746513119165134
knn_uniform_sqrt,knn,all,interpolation_random,0.009402953803421678,0.0006774735772113118,0.0090251079671309,0.0007164738558807284,-0.0003778458362907796,0.0007161687602810393
knn_distance_sqrt,knn,all,interpolation_random,0.00942850483935494,0.0006876562691149777,0.00927145426257381,0.000404371793905655,-0.00015705057678113004,0.0006155085214266808
knn_distance_inverse,knn,all,interpolation_random,0.00949343013011214,0.0008670316881641227,0.00917494189977606,0.0006905082048188245,-0.00031848823033608,0.0006058072671150726
knn_uniform_inverse,knn,all,interpolation_random,0.0095571432045601,0.0008267031885584178,0.009558123413181342,0.0005541433337861842,9.802086212401529e-07,0.0005386144437209376
knn_distance,knn,all,interpolation_random,0.0096311096902167,0.000976207701937927,0.009183365523930991,0.0006637751791527046,-0.0004477441662857101,0.0008432128851445078
mlp_log_target_inverse,mlp,all,interpolation_random,0.01020737255375411,0.0008639501303597917,0.0104314621293134,0.0016049065128421786,0.00022408957555929005,0.0011166681290070025
mlp_log_target_sqrt,mlp,all,interpolation_random,0.010605056292195231,0.0020167889404040813,0.01016922283558221,0.0013707899493489353,-0.00043583345661302,0.0024942866982991634
svr_rbf_inverse,svr,all,interpolation_random,0.010633792243827819,0.0007763931532918434,0.01071775245214204,0.0005388532365903845,8.396020831422015e-05,0.0004715984230270387
svr_rbf,svr,all,interpolation_random,0.010865441596208569,0.0015193581808736712,0.01060572636096578,0.0010643004662113857,-0.00025971523524279013,0.0015461537245805633
svr_rbf_sqrt,svr,all,interpolation_random,0.01116823318992791,0.0006337854221706766,0.01091479162940995,0.0008208882434396509,-0.00025344156051796025,0.000802619442375376
svr_linear,svr,all,interpolation_random,0.01458475306411811,0.0017701424955478035,0.0142557037503198,0.0013037812496551392,-0.0003290493137983096,0.0007919765760258707
